16122565,01122565,16112565,01112565,16102565,16092565,01092565,16082565,01082565,01072565,20062565,16062565,01052565,16042565,01042565,01025365,16022565,01022565,18012565,16012565,01012565
"1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600","1,600"
"1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700","1,700"
"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
"1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316"
"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
"1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434","1,434"
"1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352"
"1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203","1,203"
"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
"1,435","1,435","1,435","1,435","1,435","1,443","1,443","1,443","1,443","1,399","1,399","1,399","1,399","1,399","1,399","1,399","1,399","1,399","1,399","1,399","1,399"
"1,145","1,145","1,145","1,145","1,145","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152","1,152"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348","1,348"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
"1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519","1,519"
"1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212","1,212"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300"
"1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430","1,430"
"1,541","1,541","1,541","1,541","1,541","1,534","1,534","1,534","1,534","1,543","1,543","1,543","1,543","1,543","1,543","1,543","1,543","1,543","1,543","1,543","1,543"
"1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429","1,429"
"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
"1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300","1,300"
"1,693","1,693","1,693","1,693","1,693","1,681","1,681","1,681","1,681","1,678","1,678","1,678","1,678","1,678","1,678","1,678","1,678","1,678","1,678","1,678","1,678"
"1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556","1,556"
"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
"1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307","1,307"
"1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207","1,207"
"1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232","1,232"
"1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360","1,360"
"1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303","1,303"
"1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389"
"1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213","1,213"
"1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338","1,338"
"1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330"
"1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352","1,352"
"1,451","1,451","1,451","1,451","1,451","1,498","1,498","1,498","1,498","1,503","1,503","1,503","1,509","1,509","1,509","1,509","1,509","1,503","1,503","1,503","1,503"
"1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245"
