16122563,16112563,01112563,16102563,01102563,16092563,01092563,01082563,16072563,01072563,01042563,16022563,01022563
"1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0","1,384.0"
"1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0","1,243.0"
"1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,354.5","1,370.5","1,365.1","1,376.8","1,376.8","1,376.8","1,376.8","1,376.8","1,376.8","1,376.8","1,376.8","1,376.8","1,376.8"
"1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0","1,154.0"
"1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0","1,402.0"
"1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0","1,231.0"
"1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0","1,327.0"
"1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0","1,130.0"
"1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0","1,200.0"
"1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0","1,405.0"
"1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6","1,290.6"
"1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0","1,273.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0","1,521.0"
"1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0","1,306.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0","1,424.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0","1,160.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,638.7","1,635.4","1,635.4","1,635.4","1,635.4","1,635.4","1,635.4","1,635.4","1,635.4","1,602.4","1,633.2","1,635.2","1,635.2"
"1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0"
"1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0","1,303.0"
"1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0","1,126.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0","1,120.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0","1,136.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
"1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0","1,100.0"
